,location,total_sqft,bath,price,bhk
7527,Koramangala,1320.0,2.0,160.0,2
7922,Koramangala,1370.0,2.0,125.0,2
7923,Koramangala,1100.0,2.0,85.0,2
8064,Koramangala,1249.0,2.0,165.0,2
8683,Koramangala,1200.0,2.0,100.0,2
9719,Koramangala,2223.0,3.0,300.0,3
9766,Koramangala,1744.0,4.0,210.0,3
9839,Koramangala,1866.0,4.0,245.0,3
10001,Koramangala,1320.0,2.0,160.0,2
10011,Koramangala,1350.0,2.0,103.0,2
10067,Koramangala,6000.0,4.0,625.0,4
10711,Koramangala,1320.0,2.0,160.0,2
10724,Koramangala,1710.0,3.0,210.0,3
11586,Koramangala,1355.0,2.0,95.0,2
12638,Koramangala,1600.0,3.0,170.0,3
12656,Koramangala,1260.0,2.0,100.0,2
75,Kothannur,1206.0,2.0,48.23,2
1372,Kothannur,1100.0,2.0,40.0,2
2112,Kothannur,1197.0,2.0,47.88,2
2339,Kothannur,1197.0,2.0,47.8,2
2879,Kothannur,1070.0,2.0,42.79,2
8379,Kothannur,1070.0,2.0,38.6,2
9728,Kothannur,1485.0,2.0,59.4,3
10136,Kothannur,1215.0,2.0,48.6,3
12978,Kothannur,1404.0,2.0,56.15,3
4,Kothanur,1200.0,2.0,51.0,2
102,Kothanur,2400.0,2.0,150.0,3
146,Kothanur,1828.0,3.0,110.0,3
196,Kothanur,1186.0,2.0,58.0,2
304,Kothanur,1847.0,3.0,105.0,3
2108,Kothanur,9600.0,5.0,550.0,5
2271,Kothanur,1435.0,3.0,70.0,3
2472,Kothanur,1187.0,2.0,58.0,2
2673,Kothanur,1847.0,3.0,110.0,3
3448,Kothanur,1460.0,3.0,71.0,3
3876,Kothanur,1185.0,2.0,59.0,2
4109,Kothanur,1436.0,3.0,70.0,3
4250,Kothanur,1462.0,3.0,71.0,3
4401,Kothanur,1790.0,3.0,105.0,3
4978,Kothanur,1070.0,2.0,45.5,2
5295,Kothanur,1145.0,2.0,56.0,2
5588,Kothanur,3401.0,5.0,230.0,4
5626,Kothanur,1455.0,2.0,69.0,2
5713,Kothanur,627.0,1.0,30.0,1
5860,Kothanur,1302.0,2.0,68.5,2
5872,Kothanur,1760.0,3.0,111.0,3
5902,Kothanur,1185.0,2.0,58.0,2
6392,Kothanur,1500.0,1.0,75.0,1
6865,Kothanur,1075.0,2.0,53.0,2
8015,Kothanur,1790.0,3.0,97.0,3
8138,Kothanur,2700.0,4.0,175.0,4
8798,Kothanur,1786.0,2.0,106.0,3
9184,Kothanur,1787.0,3.0,107.0,3
9309,Kothanur,1141.0,2.0,54.0,2
9530,Kothanur,1760.0,3.0,110.0,3
10353,Kothanur,1160.0,2.0,57.0,2
10748,Kothanur,1095.0,2.0,55.0,2
10790,Kothanur,1142.0,2.0,56.0,2
10795,Kothanur,1074.0,2.0,54.0,2
10811,Kothanur,1285.0,2.0,60.0,2
10843,Kothanur,1075.0,2.0,53.0,2
10931,Kothanur,1140.0,2.0,56.0,2
10959,Kothanur,1400.0,2.0,70.0,2
11727,Kothanur,1140.0,2.0,56.0,2
11782,Kothanur,1787.0,3.0,120.0,3
11868,Kothanur,1185.0,2.0,59.0,2
12182,Kothanur,1790.0,3.0,105.0,3
12246,Kothanur,1130.0,2.0,55.0,2
12676,Kothanur,1094.0,2.0,54.0,2
12713,Kothanur,1170.0,3.0,80.0,3
12825,Kothanur,1400.0,2.0,65.0,2
13021,Kothanur,1195.0,2.0,59.0,2
13058,Kothanur,1790.0,3.0,120.0,3
13301,Kothanur,1454.0,3.0,71.5,3
756,Kudlu,1152.0,2.0,53.5,2
2573,Kudlu,1027.0,2.0,43.0,2
2970,Kudlu,1092.0,2.0,44.0,2
3825,Kudlu,1027.0,2.0,43.0,2
3951,Kudlu,1092.0,2.0,44.0,2
4784,Kudlu,1143.0,2.0,55.0,2
6748,Kudlu,1024.0,2.0,44.0,2
7503,Kudlu,1600.0,3.0,79.0,3
7683,Kudlu,1027.0,2.0,42.0,2
9009,Kudlu,1076.0,2.0,50.0,2
9584,Kudlu,1027.0,2.0,44.0,2
10065,Kudlu,1084.0,2.0,53.0,2
10126,Kudlu,1300.0,2.0,56.0,2
10132,Kudlu,1027.0,2.0,44.0,2
10899,Kudlu,1245.0,2.0,60.0,3
11657,Kudlu,1027.0,2.0,44.0,2
11691,Kudlu,1110.0,2.0,46.0,2
11701,Kudlu,2100.0,3.0,114.0,4
12001,Kudlu,1027.0,2.0,44.0,2
12172,Kudlu,720.0,1.0,33.0,1
12190,Kudlu,1027.0,2.0,44.0,2
12327,Kudlu,1162.0,2.0,52.0,2
13256,Kudlu,1041.0,2.0,53.0,2
134,Kudlu Gate,1535.0,3.0,83.0,3
1205,Kudlu Gate,1535.0,3.0,85.0,3
1294,Kudlu Gate,1535.0,3.0,86.0,3
1613,Kudlu Gate,1564.0,2.0,92.0,3
2118,Kudlu Gate,1238.0,2.0,55.0,2
2944,Kudlu Gate,1707.0,2.6926096474673513,99.745,3
3519,Kudlu Gate,1335.0,3.0,89.0,3
3830,Kudlu Gate,703.0,1.0,52.0,1
3907,Kudlu Gate,1535.0,3.0,86.0,3
4038,Kudlu Gate,1532.0,3.0,83.0,3
5287,Kudlu Gate,1113.0,2.0,50.0,2
6742,Kudlu Gate,1185.0,2.0,50.0,2
8260,Kudlu Gate,1215.0,2.0,45.0,2
8523,Kudlu Gate,812.0,2.0,38.25,2
8745,Kudlu Gate,1547.0,2.0,103.0,2
8921,Kudlu Gate,1336.0,2.0,86.0,2
8965,Kudlu Gate,1919.0,3.0,121.0,3
8978,Kudlu Gate,1464.0,3.0,56.0,2
9463,Kudlu Gate,1535.0,3.0,85.0,3
9712,Kudlu Gate,1850.0,3.0,120.0,3
10172,Kudlu Gate,940.0,2.0,69.57,2
10529,Kudlu Gate,1215.0,2.0,44.96,2
10867,Kudlu Gate,1164.0,2.0,75.0,2
11194,Kudlu Gate,3850.0,6.0,205.0,4
11458,Kudlu Gate,1183.0,2.0,79.54,2
11479,Kudlu Gate,1850.0,3.0,110.0,3
12468,Kudlu Gate,1183.0,2.0,79.54,2
12756,Kudlu Gate,1200.0,2.0,44.4,2
13254,Kudlu Gate,1310.0,2.0,53.0,2
2132,Kumaraswami Layout,2000.0,4.0,139.0,4
3819,Kumaraswami Layout,1000.0,2.0,48.5,2
4010,Kumaraswami Layout,1000.0,2.0,58.0,2
6760,Kumaraswami Layout,2400.0,7.0,125.0,7
9026,Kumaraswami Layout,2400.0,2.0,125.0,3
10350,Kumaraswami Layout,1310.0,2.0,70.0,3
11535,Kumaraswami Layout,850.0,1.0,78.0,1
11981,Kumaraswami Layout,3200.0,7.0,150.0,7
11998,Kumaraswami Layout,1310.0,2.0,85.0,3
12077,Kumaraswami Layout,2450.0,3.0,110.0,4
12614,Kumaraswami Layout,3100.0,7.0,145.0,7
12781,Kumaraswami Layout,1200.0,3.0,75.0,3
13042,Kumaraswami Layout,1081.0,2.0,60.0,2
37,Kundalahalli,1724.0,3.0,125.0,3
627,Kundalahalli,1030.0,2.0,49.0,2
766,Kundalahalli,735.0,2.0,57.99,2
943,Kundalahalli,1047.0,2.0,82.0,2
1164,Kundalahalli,1397.0,3.0,105.0,3
1780,Kundalahalli,1724.0,3.0,127.0,3
2230,Kundalahalli,1010.0,2.0,49.27,2
3522,Kundalahalli,1397.0,3.0,110.0,3
3583,Kundalahalli,1397.0,3.0,104.0,3
3600,Kundalahalli,1397.0,3.0,108.0,3
3770,Kundalahalli,1920.0,3.0,150.0,3
5027,Kundalahalli,1397.0,3.0,105.0,3
5336,Kundalahalli,1724.0,3.0,124.0,3
5576,Kundalahalli,1047.0,2.0,84.0,2
5640,Kundalahalli,1047.0,2.0,83.0,2
6337,Kundalahalli,7000.0,4.0,550.0,4
6385,Kundalahalli,1120.0,2.0,53.76,2
6449,Kundalahalli,1047.0,2.0,82.62,2
6615,Kundalahalli,1047.0,2.0,91.0,2
6626,Kundalahalli,1724.0,3.0,146.0,3
6984,Kundalahalli,1600.0,3.0,170.0,3
7706,Kundalahalli,1724.0,3.0,125.0,3
7771,Kundalahalli,1010.0,2.0,48.27,2
8589,Kundalahalli,1047.0,2.0,89.0,2
8902,Kundalahalli,2500.0,5.0,245.0,4
9027,Kundalahalli,1397.0,3.0,105.0,3
9168,Kundalahalli,1047.0,2.0,72.0,2
10236,Kundalahalli,1260.0,2.0,58.0,2
10347,Kundalahalli,3092.0,4.0,230.0,4
10869,Kundalahalli,1065.0,2.0,70.0,2
11772,Kundalahalli,1724.0,3.0,146.0,3
11843,Kundalahalli,1047.0,2.0,91.0,2
11860,Kundalahalli,1724.0,3.0,128.0,3
12651,Kundalahalli,1315.0,2.0,74.0,2
12669,Kundalahalli,2100.0,3.0,150.0,3
12822,Kundalahalli,1724.0,3.0,125.0,3
13150,Kundalahalli,1724.0,3.0,140.0,3
13239,Kundalahalli,1175.0,2.0,65.0,2
2923,LB Shastri Nagar,1043.0,2.0,55.0,2
5605,LB Shastri Nagar,1184.0,2.0,69.0,2
7107,LB Shastri Nagar,665.0,1.0,32.0,1
8599,LB Shastri Nagar,1250.0,2.0,48.5,2
9568,LB Shastri Nagar,1400.0,2.0,80.0,3
10978,LB Shastri Nagar,1184.0,2.0,62.0,2
12558,LB Shastri Nagar,1200.0,2.0,47.0,2
13179,LB Shastri Nagar,1200.0,2.0,75.0,2
13276,LB Shastri Nagar,1000.0,2.0,49.5,2
3282,Laggere,2800.0,5.0,125.0,5
3678,Laggere,1200.0,3.0,130.0,3
5297,Laggere,1200.0,1.0,125.0,1
6221,Laggere,1200.0,2.0,75.0,2
8149,Laggere,620.0,2.0,48.0,1
53,Lakshminarayana Pura,1185.0,2.0,75.0,2
375,Lakshminarayana Pura,1600.0,2.0,108.0,3
1251,Lakshminarayana Pura,1180.0,2.0,75.0,2
1991,Lakshminarayana Pura,1172.0,2.0,82.0,2
2233,Lakshminarayana Pura,1179.0,2.0,75.0,2
3093,Lakshminarayana Pura,1149.0,2.0,75.0,2
3434,Lakshminarayana Pura,1336.0,2.0,100.0,2
3779,Lakshminarayana Pura,1175.0,2.0,75.0,2
3816,Lakshminarayana Pura,1190.0,2.0,75.0,2
4147,Lakshminarayana Pura,1200.0,2.0,75.0,2
4158,Lakshminarayana Pura,1200.0,2.0,75.0,2
4821,Lakshminarayana Pura,1165.0,2.0,75.0,2
5116,Lakshminarayana Pura,1145.0,2.0,75.0,2
7030,Lakshminarayana Pura,1500.0,3.0,104.0,3
7669,Lakshminarayana Pura,1210.0,2.0,75.0,2
9238,Lakshminarayana Pura,1169.0,2.0,75.0,2
9344,Lakshminarayana Pura,1200.0,2.0,75.0,2
9578,Lakshminarayana Pura,1172.0,2.0,75.0,2
9773,Lakshminarayana Pura,1172.0,2.0,75.0,2
10472,Lakshminarayana Pura,1180.0,2.0,75.0,2
10577,Lakshminarayana Pura,1200.0,2.0,83.0,2
11488,Lakshminarayana Pura,1200.0,2.0,80.0,2
12279,Lakshminarayana Pura,1195.0,2.0,75.0,2
12529,Lakshminarayana Pura,1200.0,2.0,80.0,2
3,Lingadheeranahalli,1521.0,3.0,95.0,3
501,Lingadheeranahalli,1511.0,3.0,95.0,3
687,Lingadheeranahalli,1683.0,3.0,109.0,3
1375,Lingadheeranahalli,1519.0,3.0,93.0,3
2008,Lingadheeranahalli,1521.0,3.0,94.99,3
3729,Lingadheeranahalli,1682.0,3.0,120.0,3
3748,Lingadheeranahalli,1521.0,3.0,94.71,3
4561,Lingadheeranahalli,1893.0,3.0,130.0,3
4864,Lingadheeranahalli,1705.0,3.0,110.0,3
6154,Lingadheeranahalli,2245.0,4.0,154.0,4
6455,Lingadheeranahalli,1682.0,3.0,113.0,3
6648,Lingadheeranahalli,1682.0,3.0,114.0,3
8628,Lingadheeranahalli,1506.0,3.0,95.0,3
9241,Lingadheeranahalli,1683.0,3.0,110.0,3
11891,Lingadheeranahalli,1684.0,3.0,120.0,3
12150,Lingadheeranahalli,2236.0,4.0,153.0,4
12450,Lingadheeranahalli,1894.0,4.0,114.0,3
12493,Lingadheeranahalli,2240.0,4.0,160.0,4
216,Magadi Road,3600.0,6.0,141.0,6
359,Magadi Road,1116.0,2.0,50.0,2
865,Magadi Road,884.0,2.0,41.1,2
900,Magadi Road,1005.0,2.0,55.78,2
1183,Magadi Road,1000.0,2.0,46.5,2
1985,Magadi Road,1500.0,2.0,93.0,4
3267,Magadi Road,1345.0,2.0,55.0,2
7137,Magadi Road,5000.0,6.0,360.0,5
7406,Magadi Road,1116.0,2.0,51.89,2
7534,Magadi Road,1052.0,2.0,60.0,3
9928,Magadi Road,940.0,2.0,50.0,2
10378,Magadi Road,1318.0,2.0,68.0,3
12568,Magadi Road,884.0,2.0,48.0,2
746,Mahadevpura,1150.0,2.0,52.0,2
915,Mahadevpura,1250.0,2.0,52.0,2
1531,Mahadevpura,1260.0,2.0,57.6,2
2894,Mahadevpura,730.0,1.0,35.0,1
5601,Mahadevpura,1434.0,2.0,67.39,3
5832,Mahadevpura,1146.0,2.0,53.8,2
6020,Mahadevpura,1532.0,2.0,62.0,2
6304,Mahadevpura,1620.0,2.0,76.0,3
6795,Mahadevpura,1136.0,2.0,64.5,2
7134,Mahadevpura,1400.0,2.0,65.8,3
8019,Mahadevpura,1137.0,2.0,53.4,2
8317,Mahadevpura,1601.0,3.0,95.0,3
8525,Mahadevpura,1450.0,3.0,75.0,3
8776,Mahadevpura,1152.0,2.0,54.0,2
8868,Mahadevpura,1212.0,2.0,56.9,2
10041,Mahadevpura,1505.0,3.0,78.0,3
11057,Mahadevpura,1500.0,2.0,70.0,3
11468,Mahadevpura,1236.0,2.0,58.0,2
12454,Mahadevpura,1236.0,2.0,58.0,2
12923,Mahadevpura,1120.0,2.0,53.0,2
3489,Mahalakshmi Layout,1575.0,5.0,158.0,4
9263,Mahalakshmi Layout,1105.0,2.0,80.0,2
9562,Mahalakshmi Layout,1200.0,3.0,160.0,4
11973,Mahalakshmi Layout,1200.0,2.0,110.0,3
12502,Mahalakshmi Layout,1876.0,3.0,150.0,3
307,Mallasandra,1665.0,3.0,95.0,3
851,Mallasandra,1665.0,3.0,86.58,3
2578,Mallasandra,1340.0,2.0,61.0,2
3208,Mallasandra,1325.0,2.0,70.0,2
3458,Mallasandra,1665.0,3.0,86.91,3
4024,Mallasandra,1325.0,2.0,70.0,2
5712,Mallasandra,905.0,2.0,40.0,2
7146,Mallasandra,1325.0,2.0,65.0,2
8285,Mallasandra,1325.0,2.0,73.0,2
8929,Mallasandra,1565.0,2.0,69.0,2
11561,Mallasandra,905.0,2.0,35.0,2
12227,Mallasandra,1100.0,2.0,76.3,3
314,Malleshpalya,1140.0,2.0,46.5,2
1515,Malleshpalya,1225.0,2.0,46.86,2
1550,Malleshpalya,1052.0,2.0,50.0,2
2541,Malleshpalya,1405.0,2.0,77.0,3
2576,Malleshpalya,1065.0,2.0,50.0,2
3071,Malleshpalya,1210.0,2.0,55.0,2
4048,Malleshpalya,1060.0,2.0,40.0,2
5997,Malleshpalya,1430.0,2.0,69.5,3
7580,Malleshpalya,1421.0,2.0,90.0,2
9634,Malleshpalya,1245.0,2.0,55.0,2
13160,Malleshpalya,1200.0,2.0,46.0,2
13237,Malleshpalya,1225.0,2.0,52.0,2
178,Malleshwaram,705.0,1.0,67.0,1
605,Malleshwaram,12000.0,7.0,2200.0,7
639,Malleshwaram,2500.0,5.0,325.0,4
1246,Malleshwaram,2006.0,3.0,297.0,3
1967,Malleshwaram,686.0,1.0,62.5,1
2004,Malleshwaram,2475.0,4.0,332.0,3
2136,Malleshwaram,2610.0,3.0,399.0,3
2238,Malleshwaram,2475.0,4.0,320.0,3
2313,Malleshwaram,900.0,2.0,95.0,2
2370,Malleshwaram,1420.0,2.0,158.0,2
2627,Malleshwaram,2000.0,3.0,250.0,3
2783,Malleshwaram,2215.0,3.0,275.0,3
3654,Malleshwaram,2475.0,4.0,300.0,3
4210,Malleshwaram,2345.0,2.6926096474673513,293.0,3
5058,Malleshwaram,2215.0,4.0,310.0,3
5325,Malleshwaram,480.0,1.0,60.0,1
5328,Malleshwaram,1290.0,2.0,120.0,2
5987,Malleshwaram,2475.0,4.0,326.0,3
6929,Malleshwaram,2476.0,3.0,337.0,3
7508,Malleshwaram,900.0,2.0,90.0,2
8390,Malleshwaram,2050.0,4.0,270.0,3
9794,Malleshwaram,900.0,2.0,72.0,2
9896,Malleshwaram,620.0,1.0,86.8,1
10058,Malleshwaram,600.0,1.0,68.0,2
10163,Malleshwaram,2475.0,4.0,337.0,3
10174,Malleshwaram,2215.0,3.0,275.0,3
10396,Malleshwaram,2215.0,3.0,330.0,3
10619,Malleshwaram,1020.0,2.0,80.0,2
10626,Malleshwaram,600.0,1.0,90.0,2
10947,Malleshwaram,2200.0,3.0,275.0,3
11470,Malleshwaram,2475.0,4.0,326.0,3
11639,Malleshwaram,1500.0,2.0,140.0,2
11739,Malleshwaram,2475.0,4.0,340.0,3
11919,Malleshwaram,1400.0,2.0,190.0,2
12073,Malleshwaram,2475.0,4.0,300.0,3
12180,Malleshwaram,2400.0,3.0,380.0,3
12817,Malleshwaram,580.0,1.0,45.0,1
12876,Malleshwaram,1410.0,2.0,125.0,2
67,Marathahalli,1220.0,2.0,57.0,2
189,Marathahalli,1200.0,2.0,52.0,2
194,Marathahalli,1200.0,2.0,60.0,2
429,Marathahalli,1933.0,3.0,140.0,3
458,Marathahalli,950.0,2.0,46.96,2
576,Marathahalli,1230.0,2.0,80.0,2
634,Marathahalli,3800.0,4.0,250.0,4
682,Marathahalli,1019.0,2.0,49.85,2
769,Marathahalli,1215.0,2.0,67.0,2
787,Marathahalli,2181.0,3.0,152.0,4
917,Marathahalli,1170.0,2.0,53.0,2
931,Marathahalli,1019.0,2.0,49.86,2
979,Marathahalli,1325.0,2.0,71.55,2
985,Marathahalli,1220.0,2.0,56.5,2
1161,Marathahalli,1152.0,2.0,56.0,2
1327,Marathahalli,1610.0,3.0,90.0,3
1378,Marathahalli,1146.0,2.0,70.0,2
1626,Marathahalli,1469.0,3.0,89.0,3
2113,Marathahalli,2519.0,5.0,185.0,4
2395,Marathahalli,957.0,2.0,46.9,2
2406,Marathahalli,1583.0,3.0,105.0,3
2502,Marathahalli,2524.0,5.0,190.0,4
2647,Marathahalli,1071.0,2.0,52.25,2
2688,Marathahalli,1215.0,2.0,58.86,2
2753,Marathahalli,1102.0,2.0,53.67,2
2817,Marathahalli,1900.0,3.0,123.0,3
3084,Marathahalli,1045.0,2.0,60.0,2
3277,Marathahalli,1215.0,2.0,58.86,2
3321,Marathahalli,1365.0,2.0,73.0,2
3676,Marathahalli,1208.0,2.0,70.0,2
3752,Marathahalli,1325.0,1.0,92.0,2
3754,Marathahalli,1525.0,3.0,90.0,3
3871,Marathahalli,1937.0,3.0,140.0,3
3970,Marathahalli,1550.0,3.0,83.0,3
4023,Marathahalli,1350.0,2.0,86.0,2
4087,Marathahalli,957.0,2.0,47.0,2
4191,Marathahalli,1230.0,2.0,57.0,2
4208,Marathahalli,1200.0,2.0,58.0,2
4251,Marathahalli,607.0,1.0,35.0,1
4294,Marathahalli,1583.0,3.0,109.0,3
4417,Marathahalli,1075.0,2.0,52.43,2
4514,Marathahalli,1360.0,2.0,103.0,2
4556,Marathahalli,1220.0,2.0,58.5,2
4591,Marathahalli,950.0,2.0,45.68,2
4627,Marathahalli,615.0,1.0,44.0,1
4675,Marathahalli,1595.0,3.0,90.0,3
4702,Marathahalli,1350.0,2.0,89.0,2
4723,Marathahalli,1020.0,2.0,57.0,2
4731,Marathahalli,1600.0,3.0,88.0,2
4832,Marathahalli,780.0,1.0,55.0,1
4847,Marathahalli,1710.0,3.0,100.0,3
4860,Marathahalli,1358.0,2.0,81.0,2
5032,Marathahalli,1205.0,2.0,75.0,2
5060,Marathahalli,1730.0,3.0,110.0,3
5086,Marathahalli,1583.0,3.0,115.0,3
5309,Marathahalli,1200.0,2.0,67.0,2
5400,Marathahalli,1095.0,2.0,60.0,2
5418,Marathahalli,1060.0,2.0,48.0,2
5586,Marathahalli,1050.0,2.0,65.0,2
5619,Marathahalli,1102.0,2.0,53.67,2
5647,Marathahalli,1026.0,2.0,49.95,2
5721,Marathahalli,1220.0,2.0,59.0,2
5793,Marathahalli,881.0,2.0,48.06,2
6058,Marathahalli,1710.0,3.0,100.0,3
6234,Marathahalli,1680.0,3.0,105.0,3
6243,Marathahalli,1910.0,3.0,119.0,3
6508,Marathahalli,1602.0,2.0,104.0,2
6511,Marathahalli,700.0,1.0,38.0,1
6513,Marathahalli,1469.0,3.0,89.0,3
6887,Marathahalli,1690.0,3.0,116.0,3
7009,Marathahalli,1065.0,2.0,55.0,2
7112,Marathahalli,1693.0,3.0,125.0,3
7191,Marathahalli,1693.0,3.0,125.0,3
7253,Marathahalli,1196.0,2.0,57.9,2
7274,Marathahalli,1595.0,3.0,88.0,3
7291,Marathahalli,2122.0,3.0,125.0,3
7425,Marathahalli,1730.0,3.0,115.0,3
7732,Marathahalli,1125.0,2.0,55.0,2
7792,Marathahalli,1950.0,3.0,115.0,3
7793,Marathahalli,1250.0,2.0,68.0,2
7798,Marathahalli,1125.0,2.0,56.8,2
7879,Marathahalli,1350.0,2.0,90.0,2
7981,Marathahalli,1200.0,2.0,53.0,2
8359,Marathahalli,2500.0,5.0,175.0,4
8437,Marathahalli,957.0,2.0,47.0,2
8648,Marathahalli,1350.0,2.0,60.0,2
8923,Marathahalli,3400.0,4.0,235.0,4
9079,Marathahalli,1350.0,2.0,99.0,2
9280,Marathahalli,1285.0,2.0,55.0,2
9480,Marathahalli,2500.0,5.0,181.0,4
9531,Marathahalli,3800.0,4.0,235.0,4
9554,Marathahalli,3951.0,4.0,230.0,4
9606,Marathahalli,1125.0,2.0,54.8,2
9632,Marathahalli,1700.0,3.0,126.0,3
9778,Marathahalli,1270.0,2.0,73.0,2
9984,Marathahalli,950.0,2.0,46.7,2
9994,Marathahalli,1550.0,3.0,85.0,3
10035,Marathahalli,1019.0,2.0,49.86,2
10104,Marathahalli,1144.0,2.0,65.0,2
10113,Marathahalli,1240.0,2.0,55.0,2
10175,Marathahalli,1100.0,2.0,75.0,1
10345,Marathahalli,1156.0,2.0,52.0,2
10522,Marathahalli,2524.0,5.0,180.0,4
10751,Marathahalli,1135.0,2.0,60.0,2
10778,Marathahalli,1839.0,3.0,130.0,3
10882,Marathahalli,1170.0,2.0,85.0,2
10927,Marathahalli,1102.0,2.0,53.67,2
11278,Marathahalli,1108.0,2.0,60.0,3
11602,Marathahalli,1449.0,3.0,110.0,3
11817,Marathahalli,1360.0,2.0,101.0,2
11928,Marathahalli,1026.0,2.0,50.18,2
11976,Marathahalli,1270.0,2.0,80.0,2
12185,Marathahalli,1100.0,2.0,50.0,2
12836,Marathahalli,1196.0,2.0,57.95,2
12968,Marathahalli,1485.0,2.0,90.0,3
13255,Marathahalli,1146.0,2.0,69.0,2
2123,Margondanahalli,1090.0,2.0,58.0,2
2349,Margondanahalli,1200.0,2.0,58.5,2
2461,Margondanahalli,1200.0,2.0,67.0,2
3771,Margondanahalli,1000.0,2.0,57.0,2
5429,Margondanahalli,600.0,2.0,35.0,2
7038,Margondanahalli,1200.0,2.0,69.0,2
7085,Margondanahalli,900.0,2.0,49.0,2
7461,Margondanahalli,1140.0,2.0,60.0,2
8765,Margondanahalli,1100.0,2.0,55.0,2
9891,Margondanahalli,1152.0,1.0,66.0,2
11572,Margondanahalli,1200.0,2.0,65.0,2
11935,Margondanahalli,1050.0,2.0,58.0,2
12692,Margondanahalli,1160.0,2.0,65.0,2
13066,Margondanahalli,1334.0,2.0,67.76,2
2423,Marsur,1800.0,4.0,145.0,4
2912,Marsur,1200.0,3.0,90.0,3
3726,Marsur,1200.0,3.0,120.0,3
538,Mico Layout,5000.0,9.0,210.0,9
2182,Mico Layout,1550.0,2.0,65.0,3
5056,Mico Layout,1125.0,2.0,40.0,2
7991,Mico Layout,1190.0,2.0,39.25,2
9135,Mico Layout,800.0,1.0,29.5,1
9242,Mico Layout,1250.0,2.0,44.0,3
10135,Mico Layout,1171.0,2.0,39.0,2
10291,Mico Layout,1200.0,2.0,53.5,2
11757,Mico Layout,1670.0,3.0,59.0,3
12585,Mico Layout,1140.0,2.0,43.0,2
318,Munnekollal,1170.0,2.0,52.0,2
551,Munnekollal,1102.0,2.0,53.67,2
1610,Munnekollal,1390.0,3.0,68.0,3
2653,Munnekollal,1200.0,2.0,49.5,2
2689,Munnekollal,950.0,2.0,46.5,2
3476,Munnekollal,1560.0,3.0,75.0,3
6844,Munnekollal,1750.0,3.0,86.5,3
7196,Munnekollal,1385.0,2.0,66.5,3
7393,Munnekollal,1080.0,2.0,45.0,2
8718,Munnekollal,1170.0,2.0,59.0,2
11967,Munnekollal,1200.0,2.0,57.9,3
12819,Munnekollal,1030.0,2.0,50.36,2
40,Murugeshpalya,1296.0,2.0,81.0,2
3146,Murugeshpalya,1550.0,3.0,74.0,3
3698,Murugeshpalya,1845.0,3.0,91.0,3
4050,Murugeshpalya,1185.0,2.0,85.0,2
8375,Murugeshpalya,1225.0,2.0,48.0,2
9383,Murugeshpalya,1930.0,3.0,75.0,3
10403,Murugeshpalya,1600.0,2.0,65.0,3
11987,Murugeshpalya,1344.0,2.0,56.0,3
12333,Murugeshpalya,1500.0,2.0,70.0,3
12704,Murugeshpalya,1855.0,3.0,96.0,3
12720,Murugeshpalya,1175.0,2.0,75.0,2
15,Mysore Road,1175.0,2.0,73.5,2
150,Mysore Road,1710.0,4.0,91.31,3
585,Mysore Road,1020.0,2.0,48.95,2
994,Mysore Road,1175.0,2.0,73.5,2
1127,Mysore Road,1070.0,2.0,45.0,2
1289,Mysore Road,1239.0,2.0,53.0,2
1640,Mysore Road,1060.0,2.0,62.0,2
1746,Mysore Road,980.0,2.0,45.47,2
2025,Mysore Road,883.0,2.0,40.0,2
2791,Mysore Road,1525.0,3.0,96.0,3
2837,Mysore Road,1200.0,2.0,65.0,2
4882,Mysore Road,883.0,2.0,40.95,2
5140,Mysore Road,1070.0,2.0,49.65,2
6039,Mysore Road,883.0,2.0,50.0,2
6247,Mysore Road,1155.0,2.0,51.0,2
6267,Mysore Road,1003.0,2.0,43.0,2
6402,Mysore Road,1237.0,2.0,73.0,2
6530,Mysore Road,883.0,2.0,45.0,2
6680,Mysore Road,1170.0,2.0,65.0,2
6832,Mysore Road,1029.5,2.0,50.855,2
7017,Mysore Road,940.0,2.0,43.61,2
7701,Mysore Road,1020.0,2.0,48.95,2
8022,Mysore Road,1568.0,2.0,100.0,3
9129,Mysore Road,1560.0,2.6926096474673513,83.3,3
9876,Mysore Road,1175.0,2.0,70.5,2
11308,Mysore Road,1080.0,2.0,60.0,3
11957,Mysore Road,883.0,2.0,37.0,2
945,NGR Layout,1020.0,2.0,45.9,2
3056,NGR Layout,1105.0,2.0,49.73,2
3901,NGR Layout,1022.0,2.0,45.9,2
4402,NGR Layout,1020.0,2.0,45.0,2
6114,NGR Layout,1019.0,2.0,45.9,2
8067,NGR Layout,1020.0,2.0,46.0,2
11942,NGR Layout,1021.0,2.0,46.0,2
12446,NGR Layout,1021.0,2.0,45.9,2
986,NRI Layout,1565.0,2.0,75.0,3
3064,NRI Layout,2500.0,5.0,130.0,5
6681,NRI Layout,1125.0,2.0,45.56,2
7572,NRI Layout,2150.0,4.0,115.0,4
8697,NRI Layout,1250.0,2.0,75.0,2
10451,NRI Layout,1789.0,3.0,75.0,3
11703,NRI Layout,1731.0,3.0,64.11,3
12100,NRI Layout,2400.0,2.0,125.0,2
417,Nagarbhavi,1350.0,3.0,150.0,3
839,Nagarbhavi,1200.0,2.0,150.0,2
1625,Nagarbhavi,2400.0,3.0,160.0,3
1822,Nagarbhavi,884.0,2.0,36.0,1
